code,parent_code,name,level,default_unit
fi,,"industry product, total",0,
C_ADDC,fi,Additives/Blending Components,1,
C_AGSL,fi,Aviation Gasoline,1,
C_ALUM,fi,Aluminium and aluminium products,1,
C_ALUM_01_RES,fi,Aluminium and aluminium products - Residual,1,
C_ALUO,fi,Aluminium ores and concentrates,1,
C_ALUW,fi,Recycling of aluminium,1,
C_AL_INCI,fi,Incineration with energy recovery of aluminium,1,
C_AL_LAND,fi,Landfill of aluminium,1,
C_ANTH,fi,Anthracite,1,
C_ASHW,fi,Recycling of ashes,1,
C_AS_LAND,fi,Landfill of ashes,1,
C_Agavs,fi,Agave fibres nes,1,
C_Alc_food,fi,"Alcohol, Non-Food Purposes",1,
C_Almod,fi,"Almonds, Shelled",1,
C_Almol,fi,Almonds,1,
C_Alumash,fi,Aluminium from incineration bottom ash,1,
C_Anisr,fi,"Anise, badian, fennel",1,
C_Appls,fi,Apples,1,
C_Apris,fi,Apricots,1,
C_Apriy,fi,"Apricots, Dried",1,
C_Arecs,fi,Areca nuts,1,
C_Artis,fi,Artichokes,1,
C_Aspas,fi,Asparagus,1,
C_Asses,fi,Asses,1,
C_Avocs,fi,Avocados,1,
C_BAG_PLA,fi,plasic bags,1,
C_BA_INCI,fi,Energy recovery of batteries and accumulators waste,1,
C_BA_INCI_no_recov,fi,Incineration of batteries and accumulators waste,1,
C_BA_LAND,fi,Landfill of batteries and accumulators waste,1,
C_BA_OTHE,fi,Other disposal of batteries and accumulators waste,1,
C_BA_RECY,fi,Recycling of batteries and accumulators waste,1,
C_BIOD,fi,Biodiesels,1,
C_BIOF,fi,Food waste for treatment: biogasification and land application,1,
C_BIOG,fi,Biogasoline,1,
C_BIOP,fi,Paper waste for treatment: biogasification and land application,1,
C_BIOS,fi,Sewage sludge for treatment: biogasification and land application,1,
C_BITU,fi,Bitumen,1,
C_BKBP,fi,BKB/Peat Briquettes,1,
C_BOTL_GLM,fi,"bottle 0.75l, glass",1,
C_BOTL_GLS,fi,"bottle 0.33l, glass",1,
C_BOTL_PET,fi,PET bottlle,1,
C_BOTL_PLA,fi,other plastic bottle,1,
C_BRIK,fi,"Bricks, tiles and construction products, in baked clay",1,
C_Bambs,fi,Bambara beans,1,
C_Banas,fi,Bananas,1,
C_Barld,fi,"Barley, Pearled",1,
C_Barlt,fi,Pot Barley,1,
C_Barly,fi,Barley,1,
C_Bastr,fi,Jute-like fibres,1,
C_Beann,fi,"Beans, green",1,
C_Beany,fi,"Beans, dry",1,
C_Beef_boneless,fi,"Meat of cattle, boneless",1,
C_Beef_ges,fi,Sausages of Beef and Veal,1,
C_Beef_ked,fi,"Beef and Veal, Dried, Salted, Smoked",1,
C_Beef_nes,fi,Beef and Veal Preparations nes,1,
C_Beer_barl,fi,Beer of Barley,1,
C_Beer_maiz,fi,Beer of Millet,1,
C_Beer_millet,fi,Beer of Maize,1,
C_Beer_sorg,fi,Beer of Sorghum,1,
C_Beesx,fi,Beeswax,1,
C_Berrs,fi,Berries nes,1,
C_Bev_dstl,fi,"Beverages, Distilled Alcoholic",1,
C_Bev_ferm,fi,Rice-Fermented Beverages,1,
C_Bev_wh_ferm,fi,Wheat-fermented beverages,1,
C_Blues,fi,Blueberries,1,
C_Bran_bar,fi,Bran of Barley,1,
C_Bran_buc,fi,Bran of Buckwheat,1,
C_Bran_cer,fi,Bran of Cereals nes,1,
C_Bran_fon,fi,Bran of Fonio,1,
C_Bran_mai,fi,Bran of Maize,1,
C_Bran_mil,fi,Bran of Millet,1,
C_Bran_mix,fi,Bran of Mixed Grain,1,
C_Bran_oat,fi,Bran of Oats,1,
C_Bran_pul,fi,Bran of Pulses,1,
C_Bran_ric,fi,Bran of Rice,1,
C_Bran_rye,fi,Bran of Rye,1,
C_Bran_sor,fi,Bran of Sorghum,1,
C_Bran_tri,fi,Bran of Triticale,1,
C_Bran_whe,fi,Bran of Wheat,1,
C_Brazd,fi,"Brazil Nuts, Shelled",1,
C_Brazl,fi,Brazil nuts,1,
C_Bread,fi,Bread,1,
C_Broay,fi,"Broad beans, dry",1,
C_Buckt,fi,Buckwheat,1,
C_Buffaloes,fi,Buffaloes,1,
C_Bufmilk,fi,Buffalo milk,1,
C_Bulgur,fi,Bulgur,1,
C_Butt_buff,fi,Butter of Buffalo Milk,1,
C_Butt_cow,fi,Butter of Cow Milk,1,
C_Butt_goat,fi,Butter of Goat Milk,1,
C_Butt_sheep,fi,Butter and Ghee of Sheep Milk,1,
C_Buttk,fi,"Buttermilk, Curdled Milk, Acidified Milk",1,
C_Butts,fi,Butter of Karite Nuts,1,
C_CAN_ALD,fi,"aluminium can, drink",1,
C_CAN_ALF,fi,"aluminium can, food",1,
C_CAN_STEL,fi,"steel can, food",1,
C_CARDB,fi,cardboard,1,
C_CHAR,fi,Charcoal,1,
C_CHEM,fi,Chemicals nec,1,
C_CHMF,fi,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1,
C_CMNT,fi,"Cement, lime and plaster",1,
C_COIL,fi,"Crude petroleum and services related to crude oil extraction, excluding surveying",1,
C_COKC,fi,Coking Coal,1,
C_COKE,fi,Coke Oven Coke,1,
C_COMF,fi,Food waste for treatment: composting and land application,1,
C_COMP,fi,Computer and related services (72),1,
C_COMW,fi,Paper and wood waste for treatment: composting and land application,1,
C_CONS,fi,Construction work (45),1,
C_CONTAI_GLS,fi,"small container, glass",1,
C_CONW,fi,Recycling of construction waste,1,
C_COOG,fi,Coke oven gas,1,
C_COPO,fi,Copper ores and concentrates,1,
C_COPP,fi,Copper products,1,
C_COPW,fi,Recycling of copper,1,
C_COTA,fi,Coal Tar,1,
C_CO_INCI,fi,Incineration with energy recovery of construction waste,1,
C_CO_INCI_no_recov,fi,Incineration of construction waste,1,
C_CO_LAND,fi,Landfill of construction waste,1,
C_CO_OTHE,fi,Other disposal of construction waste,1,
C_CRMC,fi,Ceramic goods,1,
C_CU_INCI,fi,Incineration with energy recovery of copper,1,
C_CU_LAND,fi,Landfill of copper,1,
C_Cabbs,fi,Cabbages,1,
C_Camel,fi,Camels,1,
C_Cammilk,fi,Camel milk,1,
C_Canad,fi,Canary seed,1,
C_Caros,fi,Carobs,1,
C_Carrs,fi,Carrot,1,
C_Casen,fi,Casein,1,
C_Cashd,fi,"Cashew Nuts, Shelled",1,
C_Cashe,fi,Cashewapple,1,
C_Cashl,fi,Cashew nuts,1,
C_Cassa,fi,Cassava,1,
C_Cassd,fi,"Cassava, Dried",1,
C_Casss,fi,Cassava leaves,1,
C_Castd,fi,Castor Beans,1,
C_Catmilk,fi,"Cow milk, whole (fresh)",1,
C_Catt_ButFat,fi,"Cattle, Butcher Fat",1,
C_Cattle,fi,Cattle,1,
C_Cauli,fi,Cauliflowers and broccoli,1,
C_Cer_brkf,fi,Breakfast Cereals,1,
C_Cer_prep,fi,Cereal Preparations,1,
C_Ceres,fi,"Cereals, nes",1,
