methyl hydrogen carbonate	O=C(O)OC
(2S)-amino(phenyl)ethanoic acid	O=C(O)C(N)c1ccccc1
(2S,3S)-3-amino-2-hydroxy-4-phenylbutanoic acid	O=C(O)C(O)C(N)Cc1ccccc1
(4R)-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid	O=C(O)C1NCSC1(C)C
(2R)-3,3-dimethylbutan-2-amine	NC(C)C(C)(C)C
morpholin-4-ylacetic acid	O=C(O)CN1CCOCC1
5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole	O(c1cc2c(cc1)ncc2)CCn3cccc3
3-[(R)-[(1R)-1-amino-2-phenylethyl](hydroxy)phosphoryl]propanoic acid	O=C(O)CCP(=O)(O)C(N)Cc1ccccc1
(2R,3S)-3-amino-2-hydroxy-4-phenylbutanoic acid	O=C(O)C(O)C(N)Cc1ccccc1
4-(aminomethyl)benzenecarboximidamide	[N@H]=C(c1ccc(cc1)CN)N
(4-chlorobenzene-1,2-diyl)dimethanamine	Clc1cc(c(cc1)CN)CN
(2S,3S)-3,7-diamino-2-hydroxyheptanoic acid	O=C(O)C(O)C(N)CCCCN
3-amino-6-carbamimidamido-3,4,5,6-tetradeoxy-L-erythro-hexonic acid	O=C(O)C(O)C(N)CCCNC(=[N@H])N
(1S,2R)-1-amino-2,3-dihydro-1H-inden-2-ol	OC2Cc1ccccc1C2N
1-[(4S,5S)-4-amino-5-hydroxy-5-(1,3-thiazol-2-yl)pentyl]guanidine	OC(c1nccs1)C(N)CCCNC(=[N@H])N
7-aminoheptanoic acid	O=C(O)CCCCCCN
1,3-thiazol-5-ylmethyl hydrogen carbonate	O=C(O)OCc1scnc1
(2S,3S,5S)-2,5-diamino-1,6-diphenylhexan-3-ol	OC(C(N)Cc1ccccc1)CC(N)Cc2ccccc2
2-nitro-N-(thiophen-3-ylmethyl)-4-(trifluoromethyl)aniline	FC(F)(F)c1ccc(c([N+]([O-])=O)c1)NCc2ccsc2
methyl{[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl}carbamic acid	O=C(O)N(Cc1nc(sc1)C(C)C)C
4-Chlorophenacyl-coenzyme A	Clc1ccc(cc1)C(=O)CSCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC4OC(n3cnc2c(ncnc23)N)C(O)C4OP(=O)(O)O
(2S,3R)-3-amino-2-hydroxy-4-phenylbutanoic acid	O=C(O)C(O)C(N)Cc1ccccc1
(4S)-4-amino-1,1,1,2,2-pentafluoro-5-(1H-indol-3-yl)pentan-3-one	FC(F)(F)C(F)(F)C(=O)C(N)Cc2c1ccccc1nc2
ethyl hydrogen carbonate	O=C(O)OCC
N-[(S)-hydroxy(morpholin-4-yl)methyl]-beta-phenyl-D-phenylalanine	O=C(O)C(NC(O)N1CCOCC1)C(c2ccccc2)c3ccccc3
[(1R)-1-amino-4-methoxybutyl]boronic acid	OB(O)C(N)CCCOC
(3S)-1-carbamimidoylpiperidine-3-carboxylic acid	O=C(O)C1CCCN(C(=[N@H])N)C1
N-(carboxymethyl)-3-cyclohexyl-D-alanine	O=C(O)C(NCC(=O)O)CC1CCCCC1
4-(aminomethyl)-1-methyl-1H-pyrrole-2-carboximidamide	[N@H]=C(c1cc(cn1C)CN)N
5-(aminomethyl)-1-methyl-1H-pyrrole-2-carboximidamide	[N@H]=C(c1ccc(n1C)CN)N
N-(pyridin-4-yl)ethane-1,2-diamine	n1ccc(NCCN)cc1
N-[(2R)-2-(hydroxycarbamoyl)-4-methylpentanoyl]-L-alanylglycinamide	O=C(N)CNC(=O)C(NC(=O)C(C(=O)NO)CC(C)C)C
1-(2,5-dichlorophenyl)methanamine	Clc1ccc(Cl)cc1CN
(2S)-2-ammonio-4-[(2,4-dinitrophenyl)amino]butanoate	[O-][N+](=O)c1ccc(NCCC(C([O-])=O)[NH3+])c(c1)[N+]([O-])=O
[2-(aminomethyl)-4-chlorophenoxy]acetic acid	Clc1cc(c(OCC(=O)O)cc1)CN
(cyclopentyloxy)acetic acid	O=C(O)COC1CCCC1
(cyclohexyloxy)acetic acid	O=C(O)COC1CCCCC1
N-(furan-2-ylmethyl)-2-nitro-4-(trifluoromethyl)aniline	FC(F)(F)c1ccc(c([N+]([O-])=O)c1)NCc2occc2
3-(trifluoromethyl)benzenesulfonic acid	FC(F)(F)c1cc(ccc1)S(=O)(=O)O
3-(piperazin-1-yl)propan-1-amine	N1CCN(CCCN)CC1
(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)	O=P(O)(O)C(O)(CCCCCC)P(=O)(O)O
cis-4-(carbamimidamidomethyl)cyclohexanecarboxylic acid	O=C(O)C1CCC(CNC(=[N@H])N)CC1
(2S)-azetidine-2-carboxylic acid	O=C(O)C1NCC1
4-methoxy-2,3,6-trimethylbenzenesulfonic acid	O=S(=O)(O)c1c(c(c(OC)cc1C)C)C
2-(aminomethyl)-1,3-thiazole-4-carboximidamide	n1c(C(=[N@H])N)csc1CN
5-(aminomethyl)thiophene-2-carboximidamide	[N@H]=C(N)c1sc(cc1)CN
[(1S)-1-amino-4-methoxybutyl]phosphonic acid	O=P(O)(O)C(N)CCCOC
(3S,4E)-3-hydroxy-7-sulfanylhept-4-enoic acid	O=C(O)CC(O)/C=C/CCS
(2S,3S,5S)-2,5-diamino-6-phenyl-1-[4-(pyridin-3-yl)phenyl]hexan-3-ol	OC(CC(N)Cc1ccccc1)C(N)Cc3ccc(c2cccnc2)cc3
5-methyl-1,2-oxazole-3-carboxylic acid	O=C(O)c1noc(c1)C
1-aminocyclohexanecarboxylic acid	O=C(O)C1(N)CCCCC1
N-(2,2-dimethylpropyl)-L-asparagine	O=C(NCC(C)(C)C)CC(N)C(=O)O
1-(4-methylphenyl)methanamine	NCc1ccc(cc1)C
